ID,first_name,last_name,credit_score,birth_date,employment_status,country,annual_salary,mobile_number
1,Michelle,Petrov,421,1966-03-21,Unemployed,Sudan,121265,+555-431-688-987
2,Nancy,Yadav,425,2005-01-30,Employed,Philippines,388700,+555-653-440-805
3,Christine,Yadav,948,2005-05-20,Student,Liberia,327251,+555-166-712-156
4,Steven,Wilson,514,1978-06-24,Student,Brunei,369064,+555-230-626-699
5,Linda,Pérez,421,1985-09-06,Unemployed,Vietnam,380582,+555-115-435-421
6,Richard,Kumar,926,1940-01-23,Self-Employed,Yemen,302225,+555-451-591-348
7,Betty,Das,926,1957-11-16,Self-Employed,Saudi Arabia,52809,+555-387-379-524
8,Steven,Lim,554,1947-09-13,Unemployed,Brunei,91195,+555-613-457-708
9,Brian,Zheng,649,1986-12-17,Employed,Djibouti,256619,+555-256-737-282
10,Ying,Yoon,425,1983-04-27,Unemployed,Malaysia,354186,+555-991-684-499
11,Brian,Mehta,514,1969-12-17,Self-Employed,El Salvador,462828,+555-366-498-730
12,David,Lim,957,1942-07-18,Unemployed,Nigeria,382668,+555-749-539-128
13,Michelle,Das,551,1947-04-01,Student,Chile,330122,+555-277-608-189
14,David,Petrov,554,2002-01-26,Employed,Libya,409632,+555-602-143-570
15,Ying,Das,649,1947-09-13,Self-Employed,Georgia,194197,+555-763-206-737
16,Joshua,He,554,1962-04-03,Self-Employed,Samoa,402292,+555-445-250-380
17,Richard,Lim,514,1989-06-16,Employed,Monaco,79490,+555-308-290-786
18,Betty,Pham,948,2003-04-05,Unemployed,Austria,98660,+555-773-843-755
19,Christopher,Zheng,551,1940-01-23,Employed,Morocco,324032,+555-187-934-271
20,Linda,He,551,1941-07-16,Self-Employed,Samoa,325602,+555-880-892-918
21,Joshua,Ma,612,2003-12-15,Employed,Israel,266156,+555-229-938-641
22,Ying,Joshi,612,1978-06-24,Self-Employed,Portugal,138766,+555-541-381-699
23,Kevin,Lim,554,1964-10-21,Employed,Australia,375318,+555-451-324-169
24,Richard,Park,649,1964-04-04,Unemployed,Guinea,320302,+555-831-731-712
25,Michelle,Sánchez,926,1967-10-07,Self-Employed,Lebanon,406444,+555-724-700-390
26,Richard,Lim,948,1945-09-18,Unemployed,France,355846,+555-622-651-320
27,Michelle,He,514,1938-04-21,Employed,Vanuatu,478459,+555-575-393-395
28,Christine,Park,926,2003-08-07,Self-Employed,Jamaica,108134,+555-587-523-852
29,Brian,Petrov,514,1987-01-06,Student,Uzbekistan,20894,+555-769-616-982
30,Brian,Yoon,957,1993-04-23,Student,Korea (North),47781,+555-681-286-541
31,Jose,Das,612,1966-11-17,Unemployed,Bosnia and Herzegovina,462333,+555-201-563-921
32,Richard,Das,612,1942-07-18,Employed,Denmark,63867,+555-321-320-469
33,Karen,Kumar,649,1982-09-01,Employed,Vanuatu,408885,+555-677-762-484
34,Ying,Yadav,514,1984-03-30,Unemployed,Equatorial Guinea,71519,+555-431-592-515
35,Anthony,Lim,425,2002-07-02,Self-Employed,Somalia,179433,+555-707-126-996
36,Joshua,He,421,2005-05-20,Self-Employed,Serbia,57453,+555-970-523-611
37,Margaret,Kumar,926,2005-05-20,Self-Employed,Morocco,438751,+555-419-925-270
38,Michelle,Zheng,948,1948-11-23,Student,Mozambique,19348,+555-347-829-535
39,Karen,Wilson,554,1947-09-13,Student,Argentina,203973,+555-763-486-422
40,Margaret,Duong,926,1987-01-06,Student,Malawi,493152,+555-516-157-104
41,Linda,Sánchez,551,1958-12-30,Employed,Guinea,333798,+555-223-721-340
42,Margaret,Sánchez,957,1989-06-16,Employed,Kuwait,47953,+555-608-324-899
43,David,Mehta,425,2003-06-12,Unemployed,Solomon Islands,306843,+555-171-571-209
44,Steven,Kumar,514,1953-09-30,Employed,Oman,488087,+555-893-103-786
45,Maria,Pham,425,1993-04-23,Student,Argentina,388229,+555-120-578-578
46,Anthony,Lim,957,1981-06-29,Unemployed,Australia,265036,+555-308-649-997
47,Kevin,Pérez,554,1942-12-08,Student,Denmark,302422,+555-598-785-216
48,Jose,Petrov,514,1940-01-23,Employed,Angola,472129,+555-366-872-914
49,Linda,Zheng,948,1938-04-21,Student,Vanuatu,339764,+555-433-807-949
50,DanielCynthia,Mehta,551,1969-12-27,Student,Benin,203817,+555-180-416-224
51,Brian,Miller,554,1952-03-05,Unemployed,Iran,191143,+555-603-811-433
52,Betty,Hassan,551,2002-07-02,Student,Mali,199750,+555-546-905-596
53,Nancy,Zheng,926,1972-07-28,Self-Employed,Uruguay,91038,+555-713-510-406
54,Michelle,Kumar,425,1952-03-05,Student,Romania,120190,+555-154-566-131
55,Betty,Lim,649,1952-03-05,Unemployed,Poland,414217,+555-439-952-877
56,Joshua,Sánchez,514,1959-09-26,Unemployed,Hungary,129185,+555-790-144-273
57,DanielCynthia,Mehta,926,2003-11-20,Self-Employed,Zimbabwe,152427,+555-542-577-552
58,Michelle,Joshi,612,1967-07-30,Unemployed,Haiti,292766,+555-763-463-260
59,Linda,Pérez,514,1951-04-09,Unemployed,South Sudan,165865,+555-647-729-637
60,Michelle,Das,957,1998-04-29,Employed,Yemen,361869,+555-891-103-863
61,Ying,Das,926,1942-12-08,Self-Employed,Madagascar,292626,+555-415-231-209
62,Brian,Mehta,425,2000-12-09,Unemployed,Ethiopia,226591,+555-353-740-449
63,Maria,Sánchez,551,2005-05-20,Employed,Comoros,159851,+555-980-781-827
64,Anthony,Mehta,948,1967-09-13,Employed,Ecuador,236401,+555-244-757-745
65,Christopher,Kumar,551,2002-07-02,Employed,Belarus,274483,+555-335-879-952
66,DanielCynthia,Zheng,948,1975-11-16,Self-Employed,Italy,125488,+555-861-922-829
67,Brian,Zheng,421,1942-12-08,Student,Andorra,186698,+555-771-595-646
68,Richard,Yadav,926,1997-07-13,Student,Barbados,97737,+555-231-316-929
69,Christopher,Ma,649,1988-11-30,Student,Palau,269391,+555-715-692-169
70,Joshua,Pérez,926,1956-12-14,Employed,United States,489685,+555-775-512-981
71,Linda,Wilson,551,1956-12-14,Student,Myanmar (formerly Burma),399905,+555-810-824-246
72,Christopher,Kumar,649,1998-07-13,Student,United Arab Emirates,368228,+555-511-335-547
73,Jose,Miller,957,2003-08-07,Self-Employed,Lithuania,484729,+555-580-886-173
74,Richard,Hassan,425,1982-11-16,Unemployed,Bosnia and Herzegovina,314552,+555-725-878-850
75,Linda,Hassan,421,1948-11-23,Unemployed,Syria,14598,+555-587-253-760
76,DanielCynthia,Ma,554,1991-03-02,Student,Colombia,437816,+555-287-421-434
77,Christopher,Yoon,957,1986-11-13,Self-Employed,Niger,452392,+555-684-759-457
78,Christine,Joshi,649,1959-05-11,Student,Mali,73311,+555-623-560-440
79,Linda,Hassan,948,1968-08-15,Self-Employed,Brunei,82418,+555-597-428-650
80,Karen,Petrov,554,1988-11-30,Unemployed,Slovenia,190873,+555-159-555-381
81,Karen,He,551,1984-03-30,Unemployed,Marshall Islands,47513,+555-868-606-739
82,Margaret,Yoon,649,2002-01-26,Unemployed,Belize,146617,+555-981-232-220
83,Joshua,Pérez,421,1969-12-17,Employed,Kiribati,97408,+555-791-409-471
84,Jose,Das,554,1950-03-15,Unemployed,Samoa,168054,+555-500-268-999
85,DanielCynthia,Das,554,1937-11-13,Self-Employed,Monaco,44165,+555-722-501-165
86,Steven,Yadav,948,1972-07-28,Employed,Dominica,306688,+555-189-169-422
87,Nancy,Kumar,514,1940-01-23,Unemployed,Liberia,380387,+555-415-377-157
88,Ying,Mehta,554,1952-03-05,Unemployed,Hungary,186186,+555-553-277-891
89,Brian,Miller,551,2002-07-02,Student,Belize,394485,+555-238-584-921
90,Richard,Hassan,551,2005-05-20,Student,Chad,443057,+555-321-141-858
91,Maria,Lim,948,1984-03-30,Unemployed,Indonesia,108558,+555-748-568-743
92,Betty,Kumar,551,1951-04-09,Employed,Panama,434045,+555-377-401-513
93,Betty,Kumar,421,1964-04-04,Employed,Tonga,90331,+555-761-984-838
94,Nancy,Kumar,421,1979-06-27,Unemployed,Guinea-Bissau,376576,+555-428-826-753
95,Jose,Mehta,957,1964-04-04,Unemployed,Egypt,256368,+555-151-995-634
96,Anthony,Kumar,957,1950-03-15,Employed,Guyana,226874,+555-407-316-315
97,Michelle,Lim,554,1986-07-02,Employed,Nicaragua,192400,+555-979-389-568
98,David,Sánchez,425,1982-08-13,Unemployed,Mongolia,230852,+555-335-722-142
99,Christine,Mehta,948,1988-11-30,Unemployed,Panama,204729,+555-194-629-657
100,Nancy,Wilson,554,1998-01-17,Self-Employed,Djibouti,455813,+555-631-969-624
